job_title,company_name,location,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry
ML Engineer-AI/ML,Zortech Solutions,"Austin, TX",1 month ago,185 applicants,"$130,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
Ai/ML Engineer,Procyon Technostructure,"Austin, TX",5 months ago,,"$90,900.00/yr - $125,600.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Machine Learning Engineer,Publishing.com,"Austin, TX",5 days ago,,"$150,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
Machine Learning Engineer,Talent Groups,"Austin, TX",2 weeks ago,,,Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Lead ML Engineer,ELITE MENTE(A vishusa.com company),"Austin, TX",3 months ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Staffing and Recruiting
ML Engineer - Customer Insights & Market Intelligence,Omnicell,"Austin, TX",1 week ago,107 applicants,"$120,000.00/yr - $160,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care
Machine Learning Research Engineer,Neural Magic,"Somerville, MA",2 months ago,,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Machine Learning Engineer,"Tagup, Inc.","Boston, MA",1 month ago,88 applicants,"$95,000.00/yr - $130,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage"
"Scientist I, Machine Learning",Generate:Biomedicines,"Somerville, MA",1 week ago,,"$130,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Other,Biotechnology Research
Machine Learning Engineer - Efficient Machine Learning,Bose Corporation,"Framingham, MA",1 week ago,,"$100,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Computers and Electronics Manufacturing and Motor Vehicle Manufacturing
AI Software Engineer,Flagship Pioneering,"Cambridge, MA",2 weeks ago,,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research and Research Services
Full-Stack Engineer with ML/AI Experience,"Unreal Staffing, Inc","Chicago, IL",5 months ago,39 applicants,,Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Machine Learning Engineer (LLM),Harnham,"Chicago, IL",3 days ago,,"$130,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Analyst,Financial Services
ML Engineer,iLink Digital,"Los Angeles, CA",1 month ago,29 applicants,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
AI ML Cloud Engineer,ChabezTech LLC,"Los Angeles, CA",5 months ago,197 applicants,"$120,000.00/yr - $180,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Investment Banking
Machine Learning Engineer - New Verticals,DoorDash,"Los Angeles, CA",1 day ago,117 applicants,"$95,000.00/yr - $135,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
AI / ML Engineer,SynergisticIT,"Santa Monica, CA",3 weeks ago,27 applicants,"$70,000.00/yr - $90,000.00/yr",Entry level,Contract,Engineering,IT Services and IT Consulting
AI/ML Engineer,Steneral Consulting,"Brooklyn, NY",2 weeks ago,115 applicants,,Mid-Senior level,Contract,Engineering and Information Technology,Software Development
AI/ML Engineer,Augment Jobs,"New York, NY",3 days ago,88 applicants,,Associate,Full-time,Engineering and Information Technology,Advertising Services
Machine Learning Engineer,Venturi,"Manhattan, NY",3 weeks ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services
Machine Learning Engineer,Ritual,"New York, NY",10 months ago,,,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Software Engineer - Machine Learning and Cloud Applications,"Managed Staffing, Inc.","Beaverton, OR",3 months ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Modeling Engineer 4,Lam Research,"Tualatin, OR",2 weeks ago,169 applicants,,Not Applicable,Full-time,Engineering,Computer Hardware Manufacturing and Semiconductor Manufacturing
Staff Machine Learning Engineer,SurveyMonkey,"Portland, OR",5 days ago,29 applicants,"$214,240.00/yr - $321,360.00/yr",Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet and IT Services and IT Consulting"
"Software Engineer, UI Systems Team",Coinbase,"Portland, OR",4 days ago,78 applicants,"$147,000.00/yr - $174,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Python Machine Learning Engineer,"MM International, LLC","Malvern, PA",1 week ago,,,Mid-Senior level,Contract,Engineering and Information Technology,Staffing and Recruiting
MLOps Engineer,Randstad Digital,"Malvern, PA",1 week ago,,,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Machine Learning (ML) Engineer (US Hybrid),DXC Technology,"Philadelphia, PA",5 days ago,57 applicants,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Generative AI Data Scientist,Deloitte,"Philadelphia, PA",1 week ago,,,Not Applicable,Full-time,Engineering and Information Technology,"Accounting, IT Services and IT Consulting, and Business Consulting and Services"
Machine Learning Engineer,CoVar,"Durham, NC",7 months ago,117 applicants,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Senior AI/ML Engineer,Lenovo,"Morrisville, NC",2 weeks ago,89 applicants,"$147,900.00/yr - $174,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
GEN AI data scientist ( Remote),Cognizant,"Raleigh, NC",3 weeks ago,183 applicants,"$60,000.00/yr - $90,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services
Machine Learning Engineer - Platform,Coinbase,"Raleigh, NC",2 weeks ago,184 applicants,"$147,900.00/yr - $174,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,"Raleigh, NC",1 month ago,,"$70,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer 2,Intuit,"San Diego, CA",1 week ago,,"$90,000.00/yr - $130,000.00/yr",Associate,Full-time,Engineering and Information Technology,Software Development
AI Machine Learning Engineer,Revvity,"San Diego, CA",3 weeks ago,,"$155,000.00/yr - $165,000.00/yr",Associate,Full-time,Engineering and Information Technology,Biotechnology Research
Machine Learning Engineer - Applied AI,Uber,"Seattle, WA",1 week ago,,"$158,000.00/yr - $175,500.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Internet Marketplace Platforms
Artificial Intelligence Engineer,Hamilton Porter,"Seattle, WA",2 weeks ago,,"$170,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Information Technology and Engineering,"Software Development, Technology, Information and Internet, and Advertising Services"
Machine Learning Engineer,Tiger Analytics,"Seattle, WA",1 year ago,,"$156,000.00/yr - $220,100.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education
Machine Learning Engineer,aKUBE,"Seattle, WA",5 days ago,,,Mid-Senior level,Contract,Information Technology,"Broadcast Media Production and Distribution, Technology, Information and Media, and Entertainment Providers"
Machine Learning (Pre-Sales) Solutions Engineer,Snorkel AI,"Raleigh, NC",5 days ago,,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
ML Research Engineer (New Grad),Genesis Therapeutics,"Burlingame, CA",1 month ago,,"$90,000.00/yr - $130,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage"
AI/ML Engineer,Ikigai,"San Mateo, CA",1 month ago,,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
AI/ML Engineer,"Unreal Staffing, Inc","San Francisco, CA",5 months ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Junior Data Analyst - (Entry Level),SynergisticIT,"San Francisco, CA",1 month ago,95 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Product Data Analyst,Inkitt,"San Francisco, CA",2 months ago,193 applicants,"$63,000.00/yr - $289,000.00/yr",Not Applicable,Full-time,Information Technology,Entertainment Providers
Data Analyst (ENTRY LEVEL),SynergisticIT,"San Francisco, CA",2 months ago,89 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Junior Data Scientist - Remote,SynergisticIT,"San Francisco, CA",2 months ago,27 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Analyst - Junior,SynergisticIT,"Berkeley, CA",3 months ago,61 applicants,"$110,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Artificial Intelligence Research Scientist (Gen AI - Multimodal Learning),Eluvio,"Berkeley, CA",6 months ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Other,Non-profit Organizations and Primary and Secondary Education
Stay-at-home Parent - AI Side Hustles,"Fud, Inc.","Oakland, CA",7 months ago,88 applicants,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,General Business,Non-profit Organizations and Primary and Secondary Education
Expression Of Interest,Marqo,"San Francisco, CA",2 months ago,74 applicants,,Not Applicable,Full-time,Other,Software Development
AI Software Engineer,JARS AI,"San Francisco, CA",1 week ago,,"$140,000.00/yr - $170,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Entertainment Providers
Jr. Data Analyst (Remote),SynergisticIT,"San Francisco, CA",1 month ago,65 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Director of AI,Inkitt,"San Francisco, CA",1 month ago,44 applicants,"$188,000.00/yr - $320,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Entertainment Providers
Gen AI Engineer (Data Analyst- San Francisco) - Onsite,ATD Technology LLC full-service Staffing & Recruiting Agency,"San Francisco, CA",1 month ago,80 applicants,"$110,000.00/yr - $140,000.00/yr",Associate,Contract,Engineering and Information Technology,IT Services and IT Consulting
"Research Scientist, Gen AI/ML, Computational Photography",Google,"Mountain View, CA",1 week ago,38 applicants,"$161,000.00/yr - $239,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Entry/Junior Data Analyst - Remote,SynergisticIT,"San Jose, CA",1 week ago,135 applicants,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Entry Level Python Developer (Remote),SynergisticIT,"San Jose, CA",,55 applicants,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Analyst - Entry Level,SynergisticIT,"Santa Clara, CA",1 week ago,59 applicants,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Jr. Data Analyst (Remote),SynergisticIT,"Mountain View, CA",2 months ago,80 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Junior Data Scientist/Engineer,SynergisticIT,"San Jose, CA",1 week ago,51 applicants,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Biotechnology Research, IT Services and IT Consulting, and Civil Engineering"
Data Scientist,SMARTWORK IT SERVICES LLC (SWITS),"Santa Clara, CA",1 month ago,157 applicants,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Junior Data Scientist/Analyst (Remote),SynergisticIT,"San Jose, CA",1 month ago,80 applicants,"$80,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
